forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-02 02:00:00,Murray Hill,27,14.73076923076923,10.115942645444859
2026-04-01,2026-04-02 03:00:00,Upper East Side South,28,7.134615384615385,7.147733420160779
2026-04-01,2026-04-02 03:00:00,JFK Airport,28,14.057692307692308,15.189771166104444
2026-04-01,2026-04-02 03:00:00,Midtown Center,28,8.653846153846153,7.062106738135924
2026-04-01,2026-04-02 03:00:00,Upper East Side North,28,2.230769230769231,5.7019293241321245
2026-04-01,2026-04-02 03:00:00,Penn Station/Madison Sq West,28,11.346153846153847,9.974480596789288
2026-04-01,2026-04-02 03:00:00,Midtown East,28,6.8076923076923075,7.147733420160779
2026-04-01,2026-04-02 03:00:00,Times Sq/Theatre District,28,18.153846153846153,13.656634912507606
2026-04-01,2026-04-02 03:00:00,Lincoln Square East,28,4.6923076923076925,5.649364302316752
2026-04-01,2026-04-02 03:00:00,LaGuardia Airport,28,2.923076923076923,5.669493795004688
2026-04-01,2026-04-02 03:00:00,Murray Hill,28,8.961538461538462,7.147733420160779
2026-04-01,2026-04-02 04:00:00,Upper East Side South,29,5.826923076923077,8.785076474497739
2026-04-01,2026-04-02 04:00:00,JFK Airport,29,14.673076923076923,10.996826277985976
2026-04-01,2026-04-02 04:00:00,Midtown Center,29,9.134615384615385,9.542198209455307
2026-04-01,2026-04-02 04:00:00,Upper East Side North,29,5.980769230769231,7.965058434092077
2026-04-01,2026-04-02 04:00:00,Penn Station/Madison Sq West,29,11.653846153846153,8.904687719490104
2026-04-01,2026-04-02 04:00:00,Midtown East,29,7.961538461538462,8.454655487532733
2026-04-01,2026-04-02 04:00:00,Times Sq/Theatre District,29,20.576923076923077,17.30028501445472
2026-04-01,2026-04-02 04:00:00,Lincoln Square East,29,7.673076923076923,8.3075761414911
2026-04-01,2026-04-02 04:00:00,LaGuardia Airport,29,2.4038461538461537,6.250117282307633
2026-04-01,2026-04-02 04:00:00,Murray Hill,29,10.596153846153847,8.22540334380972
2026-04-01,2026-04-02 05:00:00,Upper East Side South,30,14.98076923076923,15.989566224134833
2026-04-01,2026-04-02 05:00:00,JFK Airport,30,68.75,37.64394756864101
2026-04-01,2026-04-02 05:00:00,Midtown Center,30,15.403846153846153,17.29340848555099
